Room Number,Square Footage,Occupancy,Quality Score,Floorplan Score,,,,,,Singles Dorms,Doubles Dorms,,Location Rating,Description
MINDEN HALL 306,311,2,0,0,,,,,,,,,,
MINDEN HALL 308,303,2,0,0,,,,,,,,,,
MINDEN HALL 405,98,1,0,0,,,,,,,,,,
MINDEN HALL 406,312,2,0,0,,,,,,,,,,
MINDEN HALL 408,303,2,0,0,,,,,,,,,,
MINDEN HALL 506,311,2,0,0,,,,,,,,,,
MINDEN HALL 508,303,2,0,0,,,,,,,,,,
MINDEN HALL 606,311,2,0,0,,,,,,,,,,
MINDEN HALL 607,343,2,0,0,,,,,,,,,,
MINDEN HALL 608,303,2,0,0,,,,,,,,,,
MINDEN HALL 706,313,2,0,0,,,,,,,,,,
MINDEN HALL 707,343,2,0,0,,,,,,,,,,
MINDEN HALL 708,299,2,0,0,,,,,,,,,,
MINDEN HALL 709,154,1,0,0,,,,,,,,,,
MINDEN HALL 806,388,2,0,0,,,,,,,,,,
MINDEN HALL 807,141,1,0,0,,,,,,,,,,
MINDEN HALL 809,357,2,0,0,,,,,,,,,,
MINDEN HALL 812,147,2,0,0,,,,,,,,,,
MINDEN HALL 814,336,2,0,0,,,,,,,,,,
NEW PEMBROKE 3 102,210,2,0,0,,,,,,,,,,
NEW PEMBROKE 3 105,101,1,0,0,,,,,,,,,,
NEW PEMBROKE 3 107,207,2,0,0,,,,,,,,,,
NEW PEMBROKE 3 108,165,2,0,0,,,,,,,,,,
